Descripción,Fijo
Deducible R.O.T. (Consecuencias),0
Bodega a Bodega,0
Maniobras de Carga y Descarga,0
Huelgas y alborotos populares,0
"Baratería, Echazón y Barredura",0
Clasificación de Buques del Instituto,0
Estadía en bodega aduanal y/o almacén de depósito fiscal (30 días),0
Devoluciones,0
Productos refrigerados,0
"Exclusión de terrorismo químico, biológico y electromagnético",1
Cláusula de Reemplazo del Instituto,1
Cláusula de exclusión de terminación de tránsito (terrorismo),1
Exclusión de contaminación radioactiva amplia,1
Cláusula de Revisión por Alta Siniestralidad,1
Robo y/o Asalto con Violencia,1
